instrument_key,exchange_token,Symbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE209A01019,1663,SUNDROP,SUNDROP BRANDS LIMITED,926.4,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE113A01013,1174,GNFC,GUJ NAR VAL FER & CHEM L,552.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE467B01029,11536,TCS,TATA CONSULTANCY SERV LT,3179.1,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE737D01021,3316,MODISONLTD,MODISON LIMITED,188.33,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE573A01042,14435,JKTYRE,JK TYRE & INDUSTRIES LTD,353.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE227C01017,13844,MMFL,MM FORGINGS LTD,362.65,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE850E01012,7902,LFIC,LAKSHMI FIN IND CORP LTD,213.08,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0Q5D01013,20488,ACCENTMIC,ACCENT MICROCELL LIMITED,271.15,,,0.05,500,EQUITY,,NSE_EQ
NSE_EQ|INE451D01029,18962,RAJRATAN,RAJRATAN GLOBAL WIRE LTD,409.05,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE985A01022,23480,SINCLAIR,SINCLAIRS HOTELS LIMITED,108.72,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE806T01020,6718,SAPPHIRE,SAPPHIRE FOODS INDIA LTD,344.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE473A01011,1627,LINDEINDIA,LINDE INDIA LIMITED,6582,,,0.5,1,EQUITY,,NSE_EQ
NSE_EQ|INE756I01012,757772,HDBFS,HDB FINANCIAL SERVICES L,800.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE153T01027,17279,BLS,BLS INTL SERVS LTD,367.35,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE258A01016,395,BEML,BEML LIMITED,4285.7,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE759A01021,2124,MASTEK,MASTEK LTD,2549.3,,,0.1,1,EQUITY,,NSE_EQ
NSE_EQ|INE805C01028,1841,KCP,KCP LTD,218.15,,,0.01,1,EQUITY,,NSE_EQ
